Loan_ID,Gender,Married,Dependents,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Property_Area,Loan_Status
219,1,1,2,1,5000,0,72,360,0,0
220,0,1,2,0,4283,2383,127,360,0,1
221,1,1,0,0,2221,0,60,360,2,0
223,1,0,0,0,2971,2791,144,360,0,1
224,1,1,0,0,7578,1010,175,0,0,1
226,1,1,0,0,3250,0,170,360,1,0
228,1,1,2,0,6250,1695,210,360,0,1
229,1,1,3,0,4758,0,158,480,0,1
230,1,0,0,1,6400,0,200,360,1,1
231,1,1,1,0,2491,2054,104,360,0,1
232,1,1,0,1,3716,0,42,180,1,1
234,0,0,0,0,8333,0,280,360,0,1
235,1,1,1,0,3155,1779,140,360,0,1
236,1,1,1,0,5500,1260,170,360,1,1
237,1,1,0,1,5746,0,255,360,2,0
239,0,0,1,0,3812,0,112,360,1,1
240,1,1,1,0,3315,0,96,360,0,1
241,1,1,2,0,5819,5000,120,360,1,1
242,1,1,1,0,2510,1983,140,180,2,0
243,1,0,0,0,2965,5701,155,60,2,1
245,1,1,0,0,3406,4417,123,360,0,1
247,1,1,2,0,9703,0,112,360,2,1
248,1,1,1,0,6608,0,137,180,2,1
249,1,1,1,0,2882,1843,123,480,0,1
250,1,1,0,0,1809,1868,90,360,2,1
251,1,1,0,0,1668,3890,201,360,0,0
252,0,0,2,0,3427,0,138,360,2,0
253,1,0,0,1,2583,2167,104,360,1,1
254,1,1,1,0,2661,7101,279,180,0,1
255,1,0,0,1,16250,0,192,360,2,0
256,0,0,3,0,3083,0,255,360,1,1
258,1,1,3,0,5250,0,94,360,2,0
259,1,1,0,0,14683,2100,304,360,1,0
260,1,1,3,0,4931,0,128,360,0,0
261,1,1,1,0,6083,4250,330,360,2,1
262,1,0,0,0,2060,2209,134,360,0,1
263,0,0,1,0,3481,0,155,36,0,0
265,1,0,0,1,5166,0,128,360,0,1
267,1,1,2,0,4708,1387,150,360,0,1
268,1,1,3,0,4333,1811,160,360,2,1
269,0,0,0,1,3418,0,135,360,1,0
272,1,1,0,0,11146,0,136,360,2,1
273,1,0,0,0,2833,1857,126,360,1,1
275,1,1,2,0,3900,0,90,360,0,1
277,1,1,0,0,3993,3274,207,360,0,1
279,1,1,0,0,14583,0,436,360,0,1
280,0,1,0,0,4100,0,124,360,1,1
281,1,0,1,1,4053,2426,158,360,2,0
282,1,1,0,0,3927,800,112,360,0,1
284,0,0,0,0,1811,1666,54,360,2,1
285,1,1,0,0,20667,0,0,360,1,0
286,1,0,0,0,3158,3053,89,360,1,1
287,0,0,0,1,2600,1717,99,300,0,0
288,1,1,0,0,3704,2000,120,360,1,1
290,1,0,0,0,9508,0,187,360,1,1
292,1,1,2,0,4400,0,127,360,0,0
293,1,1,2,0,3153,1560,134,360,2,1
294,0,0,3,0,5417,0,143,480,2,0
295,1,1,0,0,2383,3334,172,360,0,1
296,1,1,3,1,4416,1250,110,360,2,1
299,0,0,0,0,5000,2541,151,480,1,0
300,1,1,1,0,2014,2925,113,360,2,0
301,1,1,0,0,1800,2934,93,360,2,0
302,1,1,3,0,2875,1750,105,360,0,1
303,0,0,0,0,5000,0,132,360,1,1
304,1,1,1,0,1625,1803,96,360,2,1
306,1,0,0,0,2000,0,0,360,2,0
307,0,0,0,0,3762,1666,135,360,1,1
308,0,0,0,0,2400,1863,104,360,2,0
310,1,1,2,0,7667,0,185,360,1,1
311,0,0,0,0,2917,0,84,360,0,1
312,1,0,0,0,2927,2405,111,360,0,1
314,1,1,2,1,5746,0,144,84,1,1
315,1,1,0,0,2473,1843,159,360,1,0
316,1,1,1,0,3399,1640,111,180,2,1
317,1,1,2,0,3717,0,120,360,0,1
323,1,1,2,0,3601,1590,0,360,1,1
324,0,0,0,0,3166,2985,132,360,1,1
325,1,1,3,0,15000,0,300,360,1,1
326,1,1,1,1,8666,4983,376,360,1,0
327,1,0,0,0,4917,0,130,360,1,1
328,1,1,0,1,5818,2160,184,360,0,1
332,1,0,0,0,2935,0,98,360,0,1
334,1,1,0,1,63337,0,490,180,2,1
336,1,1,3,1,5503,4490,70,0,0,1
337,1,1,1,1,5250,688,160,360,1,1
338,1,1,2,1,2500,4600,176,360,1,1
339,0,0,3,0,1830,0,0,360,2,0
340,0,0,0,0,4160,0,71,360,0,1
342,0,0,0,0,2378,0,46,360,1,0
343,1,1,1,0,4554,1229,158,360,2,1
344,1,1,3,0,3173,0,74,360,0,1
345,1,1,2,1,2583,2330,125,360,1,1
347,1,1,3,0,3523,3230,152,360,1,0
349,1,1,0,0,6333,4583,259,360,0,1
350,1,1,0,0,2625,6250,187,360,1,1
351,1,1,0,0,9083,0,228,360,0,1
352,1,0,0,0,8750,4167,308,360,1,0
353,1,1,3,0,2666,2083,95,360,1,1
354,0,1,0,1,5500,0,105,360,1,0
357,1,1,2,0,8333,3167,165,360,1,1
359,1,1,0,0,3000,1666,100,480,2,0
360,1,1,3,0,5167,3167,200,360,0,1
362,1,1,2,0,5000,3667,236,360,0,1
364,1,1,0,0,3013,3033,95,300,2,1
365,1,0,0,1,6822,0,141,360,1,1
366,1,0,0,0,6216,0,133,360,1,0
368,1,0,0,0,5124,0,124,0,1,0
369,1,1,1,0,6325,0,175,360,0,1
371,0,0,0,1,15759,0,55,360,0,1
372,1,1,2,0,5185,0,155,360,0,1
374,1,0,1,0,3062,1987,111,180,2,0
375,0,0,0,1,2764,1459,110,360,2,1
377,1,1,3,0,8750,4996,130,360,1,1
378,1,1,0,0,4310,0,130,360,0,1
379,1,0,0,0,3069,0,71,480,2,0
381,1,1,0,1,3333,2500,128,360,0,1
384,1,0,0,1,7167,0,128,360,2,1
385,1,1,2,0,4566,0,100,360,2,0
386,1,0,1,1,3667,0,113,180,2,1
388,1,1,0,0,3010,3136,0,360,2,0
389,1,1,0,0,2333,2417,136,360,2,1
390,1,1,0,0,5488,0,125,360,1,1
391,1,0,3,0,9167,0,185,360,1,1
392,1,1,3,0,9504,0,275,360,1,1
393,1,1,0,0,2583,2115,120,360,2,1
394,1,1,2,0,1993,1625,113,180,0,1
395,1,1,2,0,3100,1400,113,360,2,1
399,1,0,0,0,3902,1666,109,360,1,1
403,1,0,0,0,2500,20000,103,360,0,1
405,0,0,0,1,7441,0,194,360,1,0
407,1,1,0,0,2167,2400,115,360,2,1
408,0,0,0,0,2213,0,66,360,1,1
412,1,1,0,1,6256,0,160,360,2,1
413,1,1,0,0,6096,0,218,360,1,0
414,1,1,0,0,2253,2033,110,360,1,1
415,0,1,0,0,2149,3237,178,360,0,0
416,0,0,0,0,2995,0,60,360,2,1
418,1,1,2,1,1600,20000,239,360,2,0
419,1,1,0,0,1025,2773,112,360,1,1
420,1,1,0,0,3246,1417,138,360,0,1
421,1,1,0,0,5829,0,138,360,1,1
423,1,1,0,0,1820,1719,100,360,2,1
424,1,1,1,0,7250,1667,110,0,2,0
430,1,0,0,0,2717,0,60,180,2,1
431,0,0,1,1,8624,0,150,360,0,1
432,1,0,0,0,6500,0,105,360,1,0
433,1,0,0,1,12876,0,405,360,0,1
434,1,1,0,0,2425,2340,143,360,0,1
436,0,1,3,0,10047,0,0,240,0,1
437,1,0,0,0,1926,1851,50,360,0,1
438,1,1,0,0,2213,1125,0,360,2,1
439,1,0,0,1,10416,0,187,360,2,0
440,0,1,0,1,7142,0,138,360,1,1
442,1,1,0,0,7901,1833,180,360,1,1
443,1,0,3,0,4707,1993,148,360,0,1
444,1,0,1,0,37719,0,152,360,0,1
445,1,1,0,0,7333,8333,175,300,1,1
446,1,1,1,1,3466,1210,130,360,1,1
447,1,1,2,0,4652,0,110,360,1,1
448,1,1,0,1,3539,1376,55,360,1,0
449,1,1,2,0,3340,1710,150,360,1,0
450,1,0,1,1,2769,1542,190,360,0,0
451,1,1,2,0,2309,1255,125,360,1,0
453,1,1,0,0,3948,1733,149,360,1,0
454,1,1,0,0,2483,2466,90,180,1,1
455,1,0,0,1,7085,0,84,360,0,1
456,1,1,2,0,3859,0,96,360,0,1
458,1,1,0,0,3708,2569,173,360,2,0
459,1,0,2,0,4354,0,136,360,1,1
461,1,1,0,1,2083,4083,160,360,0,1
462,1,1,3,0,7740,0,128,180,2,1
463,1,1,0,0,3015,2188,153,360,1,1
466,1,0,0,0,6000,0,140,360,1,1
467,1,1,3,0,2947,1664,70,180,2,0
469,0,1,2,1,210,2917,98,360,0,1
470,1,1,0,0,4333,2451,110,360,2,0
471,1,1,1,1,3450,2079,162,360,0,1
475,1,0,2,0,5532,4648,162,360,1,1
476,1,1,2,1,16525,1014,150,360,1,1
478,1,1,2,0,2873,1872,132,360,0,0
482,1,1,3,0,3095,0,113,360,1,1
483,1,1,0,0,2083,3150,128,360,0,1
487,1,0,2,0,3547,0,80,360,1,0
488,1,1,1,0,18333,0,500,360,2,0
490,1,0,0,0,2435,0,75,360,2,0
494,0,0,0,1,17263,0,225,360,0,1
496,0,1,1,0,3326,913,105,84,0,1
498,1,1,0,0,4625,2857,111,12,2,1
499,1,1,1,1,2895,0,95,360,0,1
500,1,0,0,0,6283,4416,209,360,1,0
501,0,0,0,0,645,3683,113,480,1,1
502,0,0,0,0,3159,0,100,360,0,1
504,1,1,1,0,4050,5302,138,360,1,0
505,1,1,0,0,3814,1483,124,300,0,1
506,1,1,2,0,3510,4416,243,360,1,1
507,1,1,0,0,20833,6667,480,360,2,1
508,1,0,0,0,3583,0,96,360,2,0
509,1,1,0,1,2479,3013,188,360,2,1
510,0,0,1,0,13262,0,40,360,2,1
511,1,0,0,0,3598,1287,100,360,1,0
512,1,1,1,0,6065,2004,250,360,0,1
513,1,1,2,0,3283,2035,148,360,2,1
514,1,1,0,0,2130,6666,70,180,0,0
515,1,0,0,0,5815,3666,311,360,1,0
516,1,1,3,0,3466,3428,150,360,1,1
517,0,1,2,0,2031,1632,113,480,0,1
518,1,1,3,0,3074,1800,123,360,0,0
519,1,0,0,0,4683,1915,185,360,0,0
520,0,0,0,0,3400,0,95,360,1,0
522,1,0,0,0,2500,0,55,360,0,1
524,1,1,2,1,7948,7166,480,360,1,1
527,1,1,0,0,3775,0,110,360,0,1
528,1,1,1,0,5285,1430,161,360,0,1
529,1,0,1,0,2679,1302,94,360,0,1
531,1,1,0,0,1025,5500,216,360,1,1
532,1,1,3,0,4281,0,100,360,2,1
533,1,0,2,0,3588,0,110,360,1,0
534,1,0,1,0,11250,0,196,360,0,0
536,1,0,0,1,2550,2042,126,360,1,1
538,1,0,2,0,3617,0,107,360,0,1
541,0,1,1,0,4608,2845,140,180,0,1
543,0,0,1,1,3652,0,95,360,0,1
545,0,1,0,0,3017,663,102,360,0,1
546,1,1,0,0,2768,1950,155,360,1,1
547,1,0,0,0,3358,0,80,36,0,0
548,1,0,0,0,2526,1783,145,360,1,1
549,0,0,0,0,5000,0,103,360,0,0
550,1,1,0,0,2785,2016,110,360,1,1
551,1,1,2,1,6633,0,0,360,1,0
552,1,1,1,0,2492,2375,0,360,1,1
554,1,1,0,0,2454,2333,181,360,2,0
555,1,1,0,0,3593,4266,132,180,1,0
556,1,1,1,0,5468,1032,26,360,0,1
557,0,0,0,0,2667,1625,84,360,2,1
558,1,1,3,1,10139,0,260,360,0,1
559,1,1,0,0,3887,2669,162,360,0,1
560,0,1,0,0,4180,2306,182,360,0,1
561,1,1,2,0,3675,242,108,360,0,1
563,1,1,0,0,5923,2054,211,360,1,1
564,1,0,0,1,5800,0,132,360,0,1
565,1,1,2,0,8799,0,258,360,2,0
566,1,1,0,0,4467,0,120,360,1,1
567,1,0,0,0,3333,0,70,360,2,1
568,1,1,3,0,3400,2500,123,360,1,0
569,0,0,0,0,2378,0,9,360,2,0
570,1,1,0,0,3166,2064,104,360,2,0
571,1,1,1,0,3417,1750,186,360,2,1
574,1,1,2,0,6125,1625,187,480,0,0
575,1,1,3,0,6406,0,150,360,0,0
576,1,1,2,0,3159,461,108,84,2,1
578,1,0,0,0,3229,2739,110,360,2,1
580,1,0,0,1,3182,2917,161,360,2,1
582,1,0,0,0,1836,33837,90,360,2,0
583,0,1,0,0,3166,0,36,360,0,1
584,1,1,1,0,1880,0,61,360,1,0
585,1,1,1,0,2787,1917,146,360,1,0
586,1,1,1,0,4283,3000,172,84,1,0
589,1,0,0,0,4750,0,94,360,0,1
590,1,1,2,1,2726,0,106,360,0,0
591,1,1,0,0,3000,3416,56,180,0,1
592,1,1,2,1,6000,0,205,240,0,0
593,1,0,3,1,9357,0,292,360,0,1
598,1,0,3,0,2987,0,88,360,0,0
600,1,1,2,0,5780,0,192,360,2,1
601,0,0,3,1,416,41667,350,180,2,0
602,1,1,0,1,2894,2792,155,360,1,1
603,1,1,3,0,5703,0,128,360,2,1
606,1,1,0,0,2400,3800,0,180,2,0
607,1,1,1,0,3400,2500,173,360,0,1
609,1,1,0,0,3232,1950,108,360,1,1
610,0,0,0,0,2900,0,71,360,1,1
611,1,1,3,0,4106,0,40,180,1,1
612,1,1,1,0,8072,240,253,360,2,1
613,1,1,2,0,7583,0,187,360,2,1
